# ra, dec
0.520656, 8.573200
0.521188, 1.006993
0.523052, -0.436592
0.524483, 1.969372
0.526900, 5.511729
0.527487, 5.172859
0.528119, 1.122780
0.528797, 0.680578
0.530393, 6.157392
0.530399, 2.541858
0.531738, 3.467103
0.532912, 4.879367
0.533710, -1.442420
0.534908, 6.659100
0.535021, 2.361403
0.536481, -2.159341
0.536794, -0.295196
0.537225, 2.999284
0.537236, 0.522481
0.537240, -1.663124
0.537693, 0.097984
0.538530, -3.319144
0.538715, -2.772915
0.538743, -0.979611
0.538866, 6.929619
0.539560, -2.676939
0.540008, -0.032048
0.540538, 5.925320
0.540719, -3.288136
0.541237, 1.414495
0.541481, 5.460878
0.542175, -0.958589
0.542706, 6.738913
0.543596, 8.030351
0.543699, -1.024052
0.543806, -1.305229
0.545099, -1.177657
0.547897, 5.988384
0.549037, -5.485690
0.550024, 0.548169
0.550318, -0.885849
0.550461, 2.287531
0.550744, 0.916874
0.552218, -0.886577
0.552773, -3.823701
0.554285, -2.825920
0.558662, -1.153135
0.558797, 7.959631
0.558983, -1.770309
0.559139, 4.559178
0.561826, 2.002443
0.562887, -0.399707
0.563194, 6.545241
0.563678, -3.562904
0.563685, 4.923850
0.564075, -3.302687
0.564645, -0.632974
0.565112, 2.532900
0.565135, 2.255270
0.566032, 2.295731
0.569453, -5.502116
0.571094, -4.199784
0.571689, -2.327801
0.572160, -1.864190
0.572160, 1.791440
0.573199, 0.133809
0.573416, -5.226439
0.573559, -0.416135
0.573790, 0.228981
0.574656, -1.226355
0.574882, -2.410543
0.575149, -3.003602
0.576518, 4.903468
0.577604, 0.517050
0.577632, 2.130723
0.577926, 6.800490
0.578737, -3.571223
0.579595, -0.255945
0.579627, 0.375839
0.581349, 3.648713
0.581718, 2.654441
0.581973, 0.996513
0.583542, 8.916060
0.583722, -0.873010
0.585708, 1.779124
0.585962, -0.755298
0.587973, -0.989506
0.587982, 0.363723
0.588481, 1.106815
0.588805, 1.955810
0.588817, -4.038854
0.589597, 8.283326
0.590964, 0.384224
0.591030, -0.131020
0.591420, -4.100531
0.591451, 0.213048
0.592062, -1.145992
0.592845, 0.032951
0.593663, -0.078743
0.594400, -3.907052
0.594574, 6.166140
0.594742, -0.262744
0.594853, 6.849957
0.595487, -1.703117
0.596277, 0.296616
0.596299, 4.379317
0.597216, -1.178094
0.597258, 1.016962
0.598147, -4.078552
0.599099, 5.218808
0.599685, -4.172854
0.600662, 0.294539
0.601038, 0.882260
0.602067, -1.272594
0.602382, -1.082137
0.602927, 0.719813
0.605210, 6.792895
0.606788, 1.069993
0.606895, 2.332411
0.607042, -4.509704
0.608730, 0.096957
0.610029, -3.314058
0.610045, 5.984374
